,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,2,24,3,3,1553,2,4,3,2,1,2,2,23,3,1,2,3,1,2,1
1,1,4,12,2,6,1393,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1
2,0,4,12,2,0,1386,3,3,2,2,1,2,2,26,3,2,1,3,1,1,1
3,0,2,30,0,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1
4,1,4,10,2,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,1,2,2
5,0,2,54,0,9,15945,1,2,3,3,1,4,4,58,3,1,1,3,1,2,1
6,1,2,9,2,3,1206,1,5,4,2,1,4,1,25,3,2,1,3,1,1,1
7,1,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1
8,0,1,27,0,9,5293,1,1,2,3,1,4,2,50,3,2,2,3,1,2,1
9,1,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,1
10,0,1,24,1,2,3552,1,4,3,3,1,4,3,27,1,2,1,3,1,1,1
11,0,1,18,4,2,2124,1,3,4,2,1,4,1,24,3,1,2,3,1,1,1
12,1,4,18,2,2,1984,1,3,4,3,1,4,4,47,1,3,2,3,1,1,1
13,1,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,1
14,1,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,1,1,1
15,1,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,1
16,1,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2
17,1,1,18,2,2,3650,1,2,1,2,1,4,3,22,3,1,1,3,1,1,1
18,0,1,60,2,9,7297,1,5,4,3,2,4,4,36,3,1,1,3,1,1,1
19,1,1,24,2,1,2910,1,4,2,3,1,1,4,34,3,3,1,4,1,2,1
20,1,4,12,4,3,1240,5,5,4,2,1,2,1,38,3,2,2,3,1,2,1
21,1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1
22,0,1,30,2,2,2406,1,4,4,2,1,4,1,23,3,1,1,3,1,1,1
23,0,1,12,0,5,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1
24,0,2,36,2,6,12612,2,3,1,3,1,4,4,47,3,3,1,3,2,2,1
25,1,4,15,4,6,1532,2,3,4,2,1,3,3,31,3,2,1,3,1,1,1
26,1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1
